lineup,slot,name,pos,team,opp,salary,proj_points
36,RB,Jahmyr Gibbs,RB,DET,GB,7700,24.321095446006957
36,RB,Alvin Kamara,RB,NO,ARI,6300,20.545504949860987
36,WR,Chris Godwin,WR,TB,ATL,5600,21.541841330788394
36,WR,Tee Higgins,WR,CIN,CLE,6400,20.021117380951825
36,WR,Davante Adams,WR,LAR,HOU,6100,18.752099464191648
36,TE,George Kittle,TE,SF,SEA,5800,17.378204033649645
36,FLEX,Stefon Diggs,WR,NE,LV,5300,15.983333100351272
36,DST,New Orleans Saints,DST,NO,ARI,1500,3.460957954800472
36,TOTAL,,,,,50000,162.20356281498215
37,QB,Sam Darnold,QB,SEA,SF,5300,20.19940915438094
37,RB,Jahmyr Gibbs,RB,DET,GB,7700,24.321095446006957
37,RB,Joe Mixon,RB,HOU,LAR,6200,19.695997088228143
37,WR,Chris Godwin,WR,TB,ATL,5600,21.541841330788394
37,WR,Tee Higgins,WR,CIN,CLE,6400,20.021117380951825
37,WR,Davante Adams,WR,LAR,HOU,6100,18.752099464191648
37,TE,George Kittle,TE,SF,SEA,5800,17.378204033649645
37,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.867967835191259
37,DST,Carolina Panthers,DST,CAR,JAX,1800,4.404855578836965
37,TOTAL,,,,,50000,162.18258731222576
38,QB,Joe Burrow,QB,CIN,CLE,6900,25.160115556261616
38,RB,Alvin Kamara,RB,NO,ARI,6300,20.545504949860987
38,RB,Joe Mixon,RB,HOU,LAR,6200,19.695997088228143
38,WR,Chris Godwin,WR,TB,ATL,5600,21.541841330788394
38,WR,Tee Higgins,WR,CIN,CLE,6400,20.021117380951825
38,WR,Jakobi Meyers,WR,LV,NE,5100,15.867967835191259
38,TE,George Kittle,TE,SF,SEA,5800,17.378204033649645
38,FLEX,Kenneth Walker III,RB,SEA,SF,5900,17.556495807078758
38,DST,Carolina Panthers,DST,CAR,JAX,1800,4.404855578836965
38,TOTAL,,,,,50000,162.17209956084758
39,QB,Joe Burrow,QB,CIN,CLE,6900,25.160115556261616
39,RB,Alvin Kamara,RB,NO,ARI,6300,20.545504949860987
39,RB,Joe Mixon,RB,HOU,LAR,6200,19.695997088228143
39,WR,Chris Godwin,WR,TB,ATL,5600,21.541841330788394
39,WR,Davante Adams,WR,LAR,HOU,6100,18.752099464191648
39,WR,Stefon Diggs,WR,NE,LV,5300,15.983333100351272
39,TE,George Kittle,TE,SF,SEA,5800,17.378204033649645
39,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.867967835191259
39,DST,San Francisco 49ers,DST,SF,SEA,2700,7.236548450946443
39,TOTAL,,,,,50000,162.16161180946938
40,QB,Russell Wilson,QB,NYG,WAS,5000,17.85015284566789
40,RB,Alvin Kamara,RB,NO,ARI,6300,20.545504949860987
